,OWNER_MEANING,SPGRP_NAME,REMCLASSCD_MEANING,SOURCECD_MEANING,PRODCD_MEANING,MCFVOL,RPA_STD_AMOUNT,RPA_STD_AMOUNT_UOM_MEANING,SAWREMVOL,GREEN_TONS
0,Not Used,Not Used,D.O.E. residential fuelwood,Not Used,D.O.E. Residential Fuelwood,10336,136000,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,387600
1,Not Used,Softwoods,Mill residues,Bark residue,Not Used,50.11328759,878.44444,Tons - Dry,50.11328759,1756.88888
2,Not Used,Softwoods,Mill residues,Bark residue,Fuel byproducts,49347.85655,865027.0676,Tons - Dry,49347.85655,1730054.135
3,Not Used,Softwoods,Mill residues,Bark residue,Miscellaneous byproducts ,14064.654,246541.7397,Tons - Dry,14064.654,493083.4794
4,Not Used,Softwoods,Mill residues,Wood residue (coarse),Fiber byproducts,92229.03607,1616698.641,Tons - Dry,92229.03607,3233397.282
5,Not Used,Softwoods,Mill residues,Wood residue (coarse),Fuel byproducts,6524.474225,114368.6312,Tons - Dry,6524.474225,228737.2624
6,Not Used,Softwoods,Mill residues,Wood residue (coarse),Miscellaneous byproducts ,2115.342345,37080.19991,Tons - Dry,2115.342345,74160.39981
7,Not Used,Softwoods,Mill residues,Wood residue (fine),Fiber byproducts,8945.547698,156808.0447,Tons - Dry,8945.547698,313616.0893
8,Not Used,Softwoods,Mill residues,Wood residue (fine),Fuel byproducts,70022.76637,1227441.119,Tons - Dry,70022.76637,2454882.238
9,Not Used,Softwoods,Mill residues,Wood residue (fine),Miscellaneous byproducts ,9984.493975,175019.9127,Tons - Dry,9984.493975,350039.8254
10,Not Used,Hardwoods,Mill residues,Not Used,Miscellaneous byproducts ,276.6593441,4836.388977,Tons - Dry,276.6593441,9672.777955
11,Not Used,Hardwoods,Mill residues,Bark residue,Not Used,642.4422414,11230.78125,Tons - Dry,642.4422414,22461.5625
12,Not Used,Hardwoods,Mill residues,Bark residue,Fuel byproducts,6630.938966,115918.0082,Tons - Dry,6630.938966,231836.0164
13,Not Used,Hardwoods,Mill residues,Bark residue,Miscellaneous byproducts ,174.4337165,3049.34325,Tons - Dry,174.4337165,6098.6865
14,Not Used,Hardwoods,Mill residues,Wood residue (coarse),Not Used,1840.207277,32169.375,Tons - Dry,1840.207277,64338.75
15,Not Used,Hardwoods,Mill residues,Wood residue (coarse),Fiber byproducts,499.6467755,8734.518493,Tons - Dry,499.6467755,17469.03699
16,Not Used,Hardwoods,Mill residues,Wood residue (coarse),Fuel byproducts,34.5996363,604.8496216,Tons - Dry,34.5996363,1209.699243
17,Not Used,Hardwoods,Mill residues,Wood residue (fine),Not Used,1179.831675,20625.09375,Tons - Dry,1179.831675,41250.1875
18,Not Used,Hardwoods,Mill residues,Wood residue (fine),Fuel byproducts,351.5601599,6145.759101,Tons - Dry,351.5601599,12291.5182
19,National Forest,Cedars,Roundwood product,Sawtimber growing stock,Saw logs,13.97266549,83.02154893,Thousand board feet (MBF) - International 1/4-inch rule,,485.3329417
20,National Forest,Cedars,Roundwood product,Sawtimber growing stock,Veneer logs,8.610231911,50.94925773,Thousand board feet (MBF) - International 1/4-inch rule,,297.6710383
21,National Forest,Cedars,Roundwood product,Sawtimber growing stock,Pulpwood,9.600552451,127.3386271,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,343.8142931
22,National Forest,Cedars,Roundwood product,Sawtimber growing stock,Composite panel,1.695345021,21.82295992,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,58.9219918
23,National Forest,Cedars,Roundwood product,Sawtimber growing stock,Bioenergy/Fuelwood,1.301719851,16.90545261,Thousand cubic feet (M cu. ft.),,45.64472206
24,National Forest,Cedars,Roundwood product,Sawtimber growing stock,Miscellaneous,0.121306902,0.121306902,Thousand cubic feet (M cu. ft.),,4.245741577
25,National Forest,Cedars,Roundwood product,Sawtimber growing stock,"Poles, Posts, Pilings",1.769198717,1.769198717,Thousand cubic feet (M cu. ft.),,53.07596152
